2019.06.16 18:21:40.690 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:21:41.632 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:21:41.691 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:21:42.634 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:21:42.693 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:38.025 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 18:47:38.025 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 18:47:38.031 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.16 18:47:38.031 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.16 18:47:38.031 INFO  Server.Server - Server is waiting for clients...
2019.06.16 18:47:38.031 INFO  Server.Server - Server is waiting for clients...
2019.06.16 18:47:39.035 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:39.036 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:40.047 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:40.049 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:41.056 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:41.056 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:42.058 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:42.058 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:43.062 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:43.062 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:43.692 INFO  Server.Server - Handling client with socket: Socket[addr=/132.73.194.133,port=56708,localport=5400]
2019.06.16 18:47:44.067 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:44.696 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:45.071 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:45.698 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:46.096 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:46.703 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:47.100 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:47.707 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:48.101 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:48.710 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:49.102 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:49.716 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:50.108 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:50.718 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:51.111 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:51.721 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:52.115 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:52.725 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:53.119 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 18:47:53.729 DEBUG Server.Server - Socket Timeout - No clients pending!
